SMILES,Core_type,SAscore,PC1,PC2
COc1cc(Cl)cc(I)c1,0,2.1549155205216675,-1.2302041772333447,0.6557052254154225
Cc1ccc(Br)cc1I,0,2.0186914687640183,-1.0831262726348758,-0.030680187062556562
Fc1cc(Br)ccc1Cl,0,1.6587030072255562,-1.0489176881842646,-0.3033180520677266
COc1c(F)c(Cl)c(Br)c(C#N)c1Cl,0,3.1346575087690614,-1.6550365496650936,1.281701633899911
Cc1c(Br)cc(C#N)cc1-c1cccs1,0,2.457261690232489,1.7662639609818678,0.6075979179023216
COc1cc(C)c(C)cc1C#N,0,1.9416204075616843,-1.4923388372597433,1.761791424672386
COc1cc(-c2cccs2)ccc1F,0,1.7963102010767535,1.7656762288090007,0.8051563595789568
Fc1ccc(I)c(I)c1,0,2.4547356995332485,-1.0203504591187498,-0.3567818857127518
N#Cc1c(F)c(Br)c(F)c(Cl)c1I,0,3.328351638120714,-1.5970169342722256,0.06338524235928178
COc1c(C#N)cccc1-c1cccs1,0,2.187749218982809,1.7765933468508293,1.5644371466109122
N#Cc1c(Br)c(Br)c(I)c(-c2cccs2)c1Br,0,3.2581187557536,1.763958356063325,0.10105297270208131
N#Cc1ccc(Cl)cc1Br,0,2.1196898794960277,-1.202604723465053,0.5814239622013324
Cc1cc(Br)ccc1F,0,1.6077953149178636,-1.074234171736014,-0.016208179254314628
Cc1ccc(C#N)c(Cl)c1C,0,2.1239785856340987,-1.2389182418404663,0.6374931022507733
COc1cc(OC)c(C)c(OC)c1,0,1.6623412884703654,-1.250802398391494,0.9869566563755432
Cc1cc(F)c(Cl)cc1C,0,1.7311320885690051,-1.3064060599552794,-0.2212631262240896
Cc1ccc(Br)cc1,0,1.2026789596855476,-1.0208849266231306,-0.30884616677530174
COc1c(C#N)cc(F)cc1C#N,0,2.483564585173662,-1.4879684965492437,1.5208242468989999
COc1c(F)c(-c2cccs2)c(OC)c(I)c1C#N,0,2.869366103287831,1.6443601543260453,1.280632187316218
Brc1cc(I)cc(I)c1,0,2.873420314917864,-1.2420805628504195,-0.5056180693941488
Fc1ccc(Cl)cc1-c1cccs1,0,1.8152484818175587,1.9701784833729696,-0.4021675448847381
COc1c(C)c(Cl)c(F)c(C)c1C#N,0,2.9304036626152143,-1.6455892561700192,1.3102626024475073
N#Cc1ccccc1C#N,0,2.012978157884305,-0.823027705473341,0.34827655384036715
COc1c(I)cc(C)c(Cl)c1C#N,0,2.7539655418640283,-1.1917786326671462,1.5452118046249126
COc1ccc(Cl)c(I)c1C,0,2.284651264679193,-1.148250374299962,0.9310076428867934
Cc1cc(-c2cccs2)c(-c2cccs2)cc1Cl,0,2.25405980469014,1.9588153682819032,-0.12826757409737635
COc1ccc(Br)cc1OC,0,1.4033757209126136,-1.0444239172936864,1.0049535542057526
COc1c(F)cccc1Cl,0,1.7437719307780777,-0.8215189293856664,0.8607935058446808
COc1c(Cl)ccc(C#N)c1-c1cccs1,0,2.351185398425254,1.6855306299250947,1.4408814247457506
N#Cc1cccc(-c2cccs2)c1I,0,2.4428840472305997,1.8128071185359211,0.3730153493339538
Cc1cc(I)cc(I)c1Cl,0,2.817352206912201,-1.3188292471210736,-0.18708614708286447
Fc1ccc(-c2cccs2)c(Br)c1I,0,2.601518455514624,1.9339808469038138,-0.49450082322797123
N#Cc1cc(-c2cccs2)c(Br)cc1F,0,2.412538613309412,1.7752787379571138,0.49842762796855283
COc1cc(C)c(I)c(I)c1,0,2.468060283246832,-1.3125797119632785,0.7299649673280864
Cc1cc(Cl)ccc1C#N,0,1.86959757180372,-1.2367427919114415,0.7818410771235105
Cc1cc(C)c(-c2cccs2)c(-c2cccs2)c1,0,2.2204376153410283,2.2397577463820273,-0.1307761438340838
